Sr. No.,Case Name,Case Number,Hearing Date,Transcript Link,Oral Hearing Link,Hearing Duration(in Minutes),mp3 format link
34,ALIGARH MUSLIM UNIVERSITY THROUGH ITS REGISTRAR FAIZAN MUSTAFA vs NARESH AGARWAL & ORS,Civil Appeal No. 2286/2006,09.01.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2006/9287/92872006_2024-01-09.pdf,https://www.youtube.com/watch?v=dEtwNsT4_CQ,318,https://www.dropbox.com/scl/fi/x370glhrbp5ok63jfrfg7/09_01_2024.mp3?rlkey=fn29a3k57o4p8eacg4o5j8rj5&st=p8r9js9i&dl=0
,,,23.01.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2006/9287/92872006_2024-01-30.pdf,https://www.youtube.com/watch?v=EZ6utg2ntpI,332,https://www.dropbox.com/scl/fi/e2zrorus7iay9mozb9g5i/23.01.2024.mp3?rlkey=dtdq15oaw9etnn4nd4iynd1a2&st=8odun6eu&dl=0
35,THE STATE OF PUNJAB vs. DAVINDER SINGH,Civil Appeal No. 2317/2011,06.02.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2010/25536/255362010_2024-02-06.pdf,https://www.youtube.com/live/0LwZkaxXtUM?si=Y-5m70Hx6NSZbuFl,318,https://www.dropbox.com/scl/fi/xdmkcrt7qj2ytuhrl4hlr/MP3-06-02-2024-1.mp3?rlkey=r84rdpsceq7jogaebvpwiqgp5&st=35fs8wxl&dl=0
36,MINERAL AREA DEVELOPMENT AUTHORITY ETC. vs. M/S STEEL AUTHORITY OF INDIA .,"	9012 / 1999
C.A. No. 4056-4064/1999",27.02.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/1999/9012/90121999_2024-02-27.pdf,https://www.youtube.com/watch?v=O8LK6Q5FzUw,322,https://www.dropbox.com/scl/fi/ahz8ouuqwbb3enkz1r4zm/MP3-27-02-2024.mp3?rlkey=tq28bn4n63nt8j2tnw1jdncq5&st=rmfqt3ay&dl=0
37,STATE BANK OF INDIA vs. ASSOCIATION FOR DEMOCRATICS REFORMS,"10382 / 2024
MA 486/2024 in W.P.(C) No. 880/2017",11.03.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2024/10382/103822024_2024-03-11.pdf,https://www.youtube.com/watch?v=fcJuqNAGCBg,77,https://www.dropbox.com/scl/fi/4251gx34gm04iyns7dahg/MP3-11-03-2024.mp3?rlkey=lpcmx7tt60qxt4go32tuzyyod&st=emwfr6x4&dl=0
38,MINERAL AREA DEVELOPMENT AUTHORITY ETC. vs. M/S STEEL AUTHORITY OF INDIA .,"9012 / 1999
C.A. No. 4056-4064/1999",12.03.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/1999/9012/90121999_2024-03-12.pdf,https://www.youtube.com/watch?v=sQrG6vRQjPg&t=5s,321,https://www.dropbox.com/scl/fi/o5qyg0313ew95ro47qsut/MP3-12-03-2024.mp3?rlkey=yhcu4fbog41ufntwuold26eh9&st=1d218p89&dl=0
,,,14.03.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/1999/9012/90121999_2024-03-14.pdf,https://www.youtube.com/watch?v=9D-B9xQh1sU,234,https://www.dropbox.com/scl/fi/ahwnns3ttwhk4na1s2v5r/MP3-14-03-2024.mp3?rlkey=f9yx5w5ygpm0ky501uhaw9ms4&st=moiqjz2q&dl=0
39,ASSOCIATION OF DEMOCRATICE REMORMS AND ANR. vs. UNION OF INDIA AND ORS,11805 / 2024,15.03.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2024/11805/118052024_2024-03-15.pdf,https://www.youtube.com/watch?v=TuvPAZWw9ag,10,https://www.dropbox.com/scl/fi/keoo0okzchejvq2ert2rx/MP3-15-03-2024.mp3?rlkey=ipgxb50e4n0sa60v3cd2flrd6&st=ky1fb3o9&dl=0
40,STATE OF U.P. . vs. M/S. LALTA PRASAD VAISH,"12996 / 2005
C.A. No. 151/2007",02.04.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2005/12996/129962005_2024-04-02.pdf,https://www.youtube.com/watch?v=xqlAvLPnv94,334,https://www.dropbox.com/scl/fi/bf6wyl4f87fr7hoakeobk/MP3-02-04-2024-1.mp3?rlkey=cirzqlin9vbgk14gppi5kqazp&st=j84qb5zn&dl=0
41,M/S. BAJAJ ALLIANCE GENERAL INSURANCE CO.LTD. vs. RAMBHA DEVI,"29686 / 2017
C.A. No. 841/2018",16.04.2024,https://main.sci.gov.in/supremecourt/transcribedarguments/2017/29686/296862017_2024-04-16.pdf,https://www.youtube.com/watch?v=HJYUA1BluJ4,33,https://www.dropbox.com/scl/fi/zkk4r71lgp28v3ao4z4y3/Mp3-16-04-2024-33mins.mp3?rlkey=8dxl37ivhdu92w8kssr84zydw&st=kfnmycbg&dl=0
42,PROPERTY OWNERS ASSOCIATION & ORS. VERSUS STATE OF MAHARASHTRA & ORS.,"D. No. 78629/1992
C.A. No. 1012/2002",23.04.2024,https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/04/2024042484-3.pdf,https://www.youtube.com/watch?v=7scTgf6MT1Q,345,https://www.dropbox.com/scl/fi/1df3ymc5xq1comlow81jp/MP3-23-04-2024.mp3?rlkey=3k7qfwwks3rura8co1hv9is1y&st=uew8nat6&dl=0
,,,,,,4935,
